"professor","Course.Name","Survey.Period","Svy.Rcv","Exp","X.","I.would.recommend.this.professor.to.other.students","When.I.sought.consultation.about.this.course..the.professor.was.available.outside.of.class.time","I.received.adequate.supervision.over.my.work.on.the.project","I.received.my.placement.in.a.timely.fashion","I.received.the.project.in.a.timely.fashion","In.the.course.of.working.on.my.clinic.projects..I.received.thorough.and.useful.supervision","My.experience.at.the.field.placement.was.positive","My.experience.in.the.field.work.component.enhanced.my.understanding.and.the.insights.I.gained.in.the","The.class.covered.meaningful.and.worthwhile.subject.matter.","The.class.improved.my.lawyering.skills","The.clinic.has.improved.my.ability.to.function.as.a.lawyer","The.clinic.projects.and.classroom.components.of.the.course.were.integrated.effectively","The.professor.adjusted.the.class.for.the.online.distance.learning.format","The.professor.s.feedback.on.my.project.work.was.helpful.in.revising.my.work","The.project.was.well.defined","The.readings.were.useful.and.well.integrated.into.the.course.and.or.provided.helpful.background.for","The.seminar.classes.enhanced.the.field.work.component","How.well.has.the.professor.adjusted.the.class.for.the.online.environment.","I.had.a.helpful.personal.consultation.with.the.professor.about.my.draft.paper","I.received.helpful.guidance.regarding.research.strategy.from.the.professor.and.or.from.a.guest.lectu","The.professor.adjusted.the.class.for.the.online.environment.","The.professor.challenged.students.to.think.critically","The.professor.created.a.learning.environment.that.was.hospitable.to.all.students","The.professor.provided.detailed.written.feedback.on.my.preliminary.draft.s..of.the.paper","The.professor.provided.timely.and.useful.comments.on.my.outline.or.other.preparatory.written.product","The.professor.taught.the.course.well","The.professor.s.feedback.on.the.preliminary.draft.s..was.will.be.helpful.in.revising.my.paper","n_courses"
"Alcala, Marissa","Intl Project Finance",201910,8,16,50,4,4,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.1,4.1,NA,NA,4.1,NA,1
"Alexander, Laura","Introduction to Contracts",202230,24,26,92,4.1,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.8,4.4,NA,NA,4.5,NA,1
"Allan, Natanya","Est Plan: Estate & Gift Tax",201930,7,14,50,4.9,4.8,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,5,5,NA,NA,4.9,NA,1
"Allan, Natanya","Estate Planning: Estate and Gift Tax",201830,2,17,12,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,2
"Almond, Roncevert","Nation Secur & Intl Aviati Law",201930,4,4,100,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Alonso-Yoder, Cori","Federal Legislation Clinic",202070,6,8,75.5,4.95,5,NA,NA,NA,4.85,NA,NA,4.8,NA,4.65,4,NA,NA,NA,4,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.85,NA,2
"Alpert, Rachel","Intl Law I: Intro to Intl Law",202110,18,34,53,3.9,4.2,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,4.1,4.7,NA,NA,4,NA,1
"Altherr, Robert","Intel Prop Lit: Pretrial Skill",201930,5,10.333,48.667,4.8,4.333,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.267,NA,NA,NA,NA,NA,4.8,4.8,NA,NA,4.8,NA,3
"Altherr, Robert","Patent Trial Practice",202010,4,6.333,60.667,4.6,4.333,NA,NA,NA,NA,NA,NA,4.933,NA,NA,NA,NA,NA,NA,4.733,NA,NA,NA,NA,NA,4.933,4.6,NA,NA,4.6,NA,3
"Altman, Stephen","Negotiations Sem",202014.615,9.308,15.769,58.923,4.669,4.767,NA,NA,NA,NA,NA,NA,4.792,NA,NA,NA,NA,NA,NA,4.438,NA,NA,NA,NA,NA,4.662,4.785,NA,NA,4.7,NA,13
"Altman, Stephen","Negotiations Seminar",201825,4,12,44.5,4.9,4.35,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.8,4.9,NA,NA,4.9,NA,2
"Altschuller, Sarah","Bus & Hum Rts in the Glob Econ",202210,13,17,76,4.5,4.9,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,4.5,4.6,NA,NA,4.6,NA,1
"Altschuller, Sarah","Hmn Rts Intrsn of Trd Corp Res",202010,8.667,16.333,52.667,4.7,4.7,NA,NA,NA,NA,NA,NA,4.767,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.8,4.967,NA,NA,4.633,NA,3
"Amar, Sebastian","Externship I Seminar",202070,11.5,16,72,4.4,4.85,NA,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,4.05,NA,NA,NA,NA,NA,4.5,4.85,NA,NA,4.55,NA,2
"Amdur-Clark, Nathaniel","Federal Indian Law",202130,17,28,61,4.5,4.6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.7,4.8,NA,NA,4.2,NA,1
"Anderson, Caroline","US Legal Res. Anlsys & Writing",201830,12,12,100,4.9,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,4.8,NA,1
"Anderson, Jonas","Property",202210,40,52,77,4.7,4.7,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.6,4.9,NA,NA,4.7,NA,1
"Anderson, Scott","Role of Addressing Foreign Pol",201830,6,14,43,5,4.6,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.8,5,NA,NA,5,NA,1
"Ansari-Bayegan, Safa","Criminal Justice Clinic",202210,11,14,79,4.9,4.8,NA,NA,NA,4.9,NA,NA,5,NA,5,4.7,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.9,NA,1
"Ansbacher, Richard","Structuring Prv Eq Trans",201910,9,25,36,4.2,4.4,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.6,4.3,NA,NA,4.3,NA,1
"Anthony, Stephen","Counseling the Corp in Crisis",202060,13,22.25,58.75,4.325,4.3,NA,NA,NA,NA,NA,NA,4.725,NA,NA,NA,NA,NA,NA,4.275,NA,NA,NA,NA,NA,4.65,4.725,NA,NA,4.4,NA,4
"Antunes, Fadia","Intl Project Finance & Invest",202210,5,9,56,4.8,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,5,NA,NA,4.8,NA,1
"Arcano, Stephen","Mergers & Acquisitions in Prac",202060,4.5,10,44.75,4.525,4.875,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.675,4.575,NA,NA,4.525,NA,4
"Archampong-Gray, Awo","Intro to Fed Income Tax",202005,5,8.75,57.5,4.35,4.525,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,4.7,NA,NA,4.475,NA,3.867,NA,NA,NA,4.675,4.8,NA,NA,4.5,NA,4
"Arlyck, Kevin","Civil Procedure",202030,78.4,94,83.4,4.82,4.74,NA,NA,NA,NA,NA,NA,4.86,NA,NA,NA,NA,NA,NA,4.84,NA,NA,NA,NA,NA,4.8,4.88,NA,NA,4.8,NA,5
"Arlyck, Kevin","Fed Courts & the Fed System",202010,25.667,46.333,57.333,4.667,4.9,NA,NA,NA,NA,NA,NA,4.833,NA,NA,NA,NA,NA,NA,4.633,NA,NA,NA,NA,NA,4.933,4.8,NA,NA,4.733,NA,3
"Arlyck, Kevin","The Fed Courts & the World Sem",202080,13.25,18.5,71.5,4.9,4.85,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,4.925,4.95,NA,NA,4.9,NA,4
"Armstrong, Ashley","Human Rights Fact-Finding",201870,6,10,60,3.4,4.85,3.85,NA,3.95,NA,NA,NA,5,NA,NA,NA,NA,3.85,4.5,4.05,NA,NA,NA,NA,NA,4.45,3.8,NA,NA,3.7,NA,2
"Armstrong, Steven","Food and Drug Law",201930,9,16.333,55.667,4.767,4.967,NA,NA,NA,NA,NA,NA,4.833,NA,NA,NA,NA,NA,NA,4.467,NA,NA,NA,NA,NA,4.533,4.933,NA,NA,4.767,NA,3
"Aron, Nan","Judicial Selection Process Sem",202210,8,11,73,5,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.6,5,NA,NA,4.9,NA,1
"Aronson, Clifford","Antitrust in Action",202110,2,7.333,25,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.833,NA,NA,NA,NA,NA,5,5,NA,NA,4.933,NA,3
"Arroyo, Vicki","Adv Environ Law: Climate Chang",202010,7.333,11,66,4.933,4.833,4.567,NA,4.733,NA,NA,NA,4.967,NA,NA,NA,NA,4.667,4.533,4.933,NA,NA,NA,NA,NA,5,4.933,NA,NA,4.933,NA,3
"Arroyo, Vicki","Week One Head Teaching Fellow",202110,1,1,100,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Arroyo, Vicki","Week One Teaching Fellows",202060,2,2.5,83.5,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,2
"Arroyo, Vicki","World Health Assembly Sim",202010,21.667,22,98.333,4.933,4.667,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.533,NA,NA,NA,NA,NA,4.9,5,NA,NA,4.9,NA,3
"Arthur, Errol","Drafting Contracts",202220,11.5,17,67,4.7,4.85,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,4.75,4.85,NA,NA,4.65,NA,2
"Astrada, Scott","US Legal Res. Anlsys & Writing",202040,12.5,15.5,80.75,3.75,4.425,NA,NA,NA,NA,NA,NA,4.175,NA,NA,NA,NA,NA,NA,4.375,NA,NA,NA,NA,NA,4.1,4.4,NA,NA,3.775,NA,4
"Attanasio, David","Curr Topics in Intl Invst Arb",202030,7,15.5,44,4.3,4.5,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,4.15,4.6,NA,NA,4.45,NA,2
"Attanasio, David","Current Topics in International Investment Arbitration",201830,6,13,46,4.6,4.9,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,4.85,4.9,NA,NA,4.6,NA,2
"Austin, Kennisha","Externship I Seminar",201920,7,10.333,69.333,4.233,4.1,NA,NA,NA,NA,NA,NA,3.967,NA,NA,NA,NA,NA,NA,3.667,NA,NA,NA,NA,NA,4.233,4.1,NA,NA,4.133,NA,3
"Austin, Kennisha","Externship I Seminar (J.D. Externship Program)",201825,10,14.5,66.75,4,4,NA,NA,NA,NA,NA,NA,3.275,NA,NA,NA,NA,NA,NA,3.35,NA,NA,NA,NA,NA,4.5,5,NA,NA,3,NA,4
"Austin, Kennisha","Externship II Seminar",201870,3,4,75,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Austin, Kennisha","Externship II Seminar (J.D. Externship Program)",201830,4,10,40,5,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,5,5,NA,NA,5,NA,1
"Ayala, Ana","Public Health Emergencies",201910,11,16,69,3.8,4.4,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4.2,4.5,NA,NA,3.9,NA,1
"Ayer, Donald","Supreme Court Litigation Semin",202060,10.75,13.5,81.25,4.825,5,NA,NA,NA,NA,NA,NA,4.75,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.75,4.95,NA,NA,4.725,NA,4
"Babcock, Hope","Environmental Law & Justice Cl",202050,3.667,4.667,80.667,4,4.533,NA,NA,NA,4.333,NA,NA,4.533,NA,4.133,4.2,NA,NA,NA,3.9,NA,NA,NA,NA,NA,4.233,4,NA,NA,4.167,NA,3
"Babcock, Hope","IPR Environmental Clinic",201870,4.5,5,87.5,4.75,5,NA,NA,NA,4.9,NA,NA,5,NA,5,5,NA,NA,NA,4.9,NA,NA,NA,NA,NA,5,4.75,NA,NA,4.85,NA,2
"Babcock, Hope","Natural Resources Law",201980,12.25,18.5,68.25,4.3,4.775,NA,NA,NA,NA,NA,NA,4.725,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.6,4.55,NA,NA,4.275,NA,4
"Baer, Gregory","Federal Reg of Fin Institutns",201830,12,14,86,4.7,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.8,5,NA,NA,4.7,NA,1
"Baer, Gregory","Federal Reg of Financ Instit",201930,7,9,78,4.9,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,4.3,5,NA,NA,4.7,NA,1
"Baer, Gregory","Financial Services: Regulation",202130,8.333,19.667,44,4.733,4.967,NA,NA,NA,NA,NA,NA,4.933,NA,NA,NA,NA,NA,NA,4.633,NA,NA,NA,NA,NA,4.767,4.967,NA,NA,4.767,NA,3
"Baeyens, Angelita","Human Rts & Inter-American Sys",202043.333,6.333,7.667,81.333,4.767,4.8,NA,NA,NA,NA,NA,NA,4.867,NA,NA,NA,NA,NA,NA,4.667,NA,NA,NA,NA,NA,4.767,4.933,NA,NA,4.833,NA,3
"Baffy, Marta","ALE: Criminal Procedure",202010,8.25,15,56,4.95,4.975,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.925,NA,NA,NA,NA,NA,4.85,4.95,NA,NA,4.85,NA,4
"Baffy, Marta","Academic Legal English II",201910,11.333,15.333,73.667,4.967,4.933,NA,NA,NA,NA,NA,NA,4.667,NA,NA,NA,NA,NA,NA,4.467,NA,NA,NA,NA,NA,4.9,4.967,NA,NA,4.867,NA,3
"Baffy, Marta","Academic Legal English: Torts",201930,14.5,15,96.5,4.975,4.925,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,NA,4.875,NA,NA,NA,NA,NA,4.875,4.925,NA,NA,4.975,NA,4
"Baffy, Marta","Legal English I",202070,7.5,12,61.25,4.75,5,NA,NA,NA,NA,NA,NA,4.925,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,4.8,4.85,NA,NA,4.65,NA,4
"Baffy, Marta","U.S. Legal Research Analysis & Writing",201920,17,20,85,4.9,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4.9,4.9,NA,NA,4.9,NA,1
"Baharanyi, Zawadi","Juvenile Justice Clinic",201910,5,9,56,4.6,4.8,NA,NA,NA,5,NA,NA,4.8,NA,5,4.8,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.4,5,NA,NA,4.4,NA,1
"Bailey, Leonard","Transnatl Crim Orgs in Cyber",202160,10.5,20,54,4.9,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.85,NA,NA,NA,NA,NA,4.9,5,NA,NA,5,NA,2
"Bailey, Lindsay","Environmental Law & Justice Cl",202230,8,8,100,4.1,4.8,NA,NA,NA,4.9,NA,NA,5,NA,5,4.9,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.7,3.7,NA,NA,4.6,NA,1
"Baker, Alexis","Negotiations (LL.M.)",202115,17.5,18.75,94.25,4.95,4.9,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,4.875,4.95,NA,NA,4.925,NA,4
"Baker, Karen","Center for Applied Legal Studi",201870,8.5,12,71,4.95,4.95,NA,NA,NA,4.7,NA,NA,4.95,NA,5,4.65,NA,NA,NA,4.7,NA,NA,NA,NA,NA,4.95,4.8,NA,NA,4.95,NA,2
"Balaban, Eric","Prison Reform Advocacy & Litig",201880,8.5,11,76.5,4.45,4.7,NA,4.85,NA,NA,4.9,4.9,4.95,4.4,NA,NA,NA,NA,NA,4.65,4.55,NA,NA,NA,NA,4.55,4.8,NA,NA,4.25,NA,2
"Band, Jonathan","Copyright Law",202010,18.333,36.667,50,4.133,4.633,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,4.233,NA,NA,NA,NA,NA,4.5,4.7,NA,NA,4.2,NA,3
"Banfi Vique, Sandra","Human Rts & Inter-American Sys",202043.333,6.333,7.667,81.333,4.967,4.967,NA,NA,NA,NA,NA,NA,4.867,NA,NA,NA,NA,NA,NA,4.667,NA,NA,NA,NA,NA,4.867,4.967,NA,NA,4.967,NA,3
"Barale Ceurvorst, Lucille","Law & Frn Invst in China",201880,20,23.5,85.5,4.5,4.65,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,4.55,4.65,NA,NA,4.6,NA,2
"Barbash, Barry","Hedge Funds Prvte Equity Funds",201943.333,10.667,19,49.333,4.467,4.467,NA,NA,NA,NA,NA,NA,4.733,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,4.5,4.567,4.6,NA,NA,4.567,NA,3
"Barbash, Barry","Money Managers",201980,4,10,43.75,4.775,4.167,NA,NA,NA,NA,NA,NA,4.95,NA,NA,NA,4.5,NA,NA,4.825,NA,4,NA,NA,NA,4.95,4.9,NA,NA,4.9,NA,4
"Barbash, Barry","Prvte Equity Funds Hedge Funds",202176.667,9.333,16.667,48.667,4.733,4.833,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.467,NA,5,NA,NA,NA,4.9,4.933,NA,NA,4.733,NA,3
"Barbisan, Benedetta","European Const Traditions",202010,17,37,46,4.8,4.9,NA,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,4.8,4.9,NA,NA,4.8,NA,1
"Barbosa, Isabel","O'Neill Inst Practicum",202160,5.5,10,53,5,4.9,4.5,NA,4.3,NA,NA,NA,5,NA,NA,NA,NA,4.8,3.85,4.6,NA,NA,NA,NA,NA,4.9,5,NA,NA,4.9,NA,2
"Barczewski, Benjamin","Environmental Law & Justice Cl",202050,3.667,4.667,80.667,4.933,4.833,NA,NA,NA,4.333,NA,NA,4.533,NA,4.133,4.2,NA,NA,NA,3.9,NA,NA,NA,NA,NA,4.867,4.933,NA,NA,4.933,NA,3
"Barloon, Joseph","US Legal Res. Anlsys & Writing",202230,11,12,92,5,4.9,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,4.9,5,NA,NA,5,NA,1
