Section Content,Course ID,Course Name,Course Limit,Prerequisite,Note,Recommended,Mutually Excluded Courses,Professor_1,Professor_1 Link,Professor_2,Professor_2 Link,Professor_3,Professor_3 Link,Time
"This course will examine the Inter-American Human Rights System, its impact on the protection of the individual, the strengthening of democratic institutions and the rule of law in the Americas. The course will be divided in two parts. The first part of the course will examine the practice and procedure of the two main institutions of the Inter-American Human Rights System: The Inter-American Commission on Human Rights (IACHR) and the Inter-American Court on Human Rights (IACtHR); including a practical training that will enable students to engage in a lively interaction with the IACHR. The second part will examine the main developments of this regional system’s jurisprudence. Specifically, in this part of the course there will be a discussion of the approaches of the Inter-American System with respect to impunity and transitional justice, freedom of expression, the rights of women, indigenous peoples’ rights and the rights of Lesbian, Gay, Bisexual, Trans and Intersex persons. In this section of the course, we will also analyze U.S. engagement with the Inter-American System.
Learning Objectives:
Through this course, students will acquire a strong substantive and practical understanding of the functioning, challenges and opportunities of the Inter-American Human Rights System and how it can be used to protect human rights in the Americas.",LAW 2020 v00,Human Rights and the Inter-American System,Limit: Varies by section,,,,,Angelita Baeyens,https://www.law.georgetown.edu/faculty/?redirect=RzAwNDc2MDE5,Sandra A. Banfi Vique,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTIxNzcx,,,M 3:30pm-5:30pm (1/16 to 4/27)
"Slavery has been a phenomenon that has existed since before written history, yet it is only in the last 200 years that efforts to abolish it have gained traction. Today, increasing mobility, global supply chains, and continued social discrimination have created the environment for ongoing human exploitation, even though the formal practice of chattel slavery, or the legal ownership of one human being by another, is illegal virtually everywhere. Indeed, some estimate that there are more slaves today than at any other time in human history. Most recently, efforts to eliminate severe forms of human exploitation are being made under the banner of ending human trafficking (or more formally, trafficking in persons).
This course will provide students an overview of the multiple legal perspectives on combating human trafficking and modern slavery. This will include the definitional tensions between different perspectives, alternative approaches to addressing severe human exploitation, and an overview of the current U.S. legal framework for eradicating human trafficking and modern slavery and its weaknesses. Attention will be paid to commonly recognized principles in human rights, criminal and labor law, but also in such areas as corporate responsibility and immigration law. The class will use a range of materials, including international treaties, decisions of international and foreign tribunals, and more familiar U.S. statutory materials and legislative history (such as committee reports).
Learning Objectives:
At the conclusion of the class, students should be able to
recognize many of the forms of and pervasive nature of human trafficking and modern slavery;
identify risks of human trafficking and modern slavery in most areas of practice they may choose in the future; and
have familiarity with emerging issues in the area of human trafficking and modern slavery.",LAW 1286 v00,Human Trafficking and Modern Slavery in the 21st Century: Legal Perspectives,Limit: Varies by section,,,"Recommended:
A prior course in public international law or international human rights.","Mutually Excluded Courses:
Students may not receive credit for both this seminar and Human Trafficking in International and Transnational Law.",David Abramowitz,https://www.law.georgetown.edu/faculty/?redirect=RzAwNjE1OTcy,,,,,Th 5:45pm-7:45pm (1/16 to 4/27)
Cancelled section,LAW 3118 v00,Information Operations in the Cyber Age: Law and Policy,,,,"Recommended:
International Law course",,Todd Huntley,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTExODY1,Lauren M Cherry,https://www.law.georgetown.edu/faculty/?redirect=RzAwODQ2ODQz,,,
"The New York Convention of 1958 on the Recognition and Enforcement of Foreign Arbitral Awards is generally considered as the most important legal cornerstone for international business arbitration. It is also acclaimed to be the most successful international convention in international private law. The New York Convention provides for the international enforcement of arbitration agreements and arbitral awards. There are now 156 Contracting States and more than 1,800 court decisions interpreting and applying the Convention. The course will analyze and compare the most important ones of those decisions. It will offer a unique insight in treaty design, statutory enactments, varying court approaches, and the practice of international arbitration. The course materials will be made available at www.newyorkconvention.org.",LAW 3021 v00,International Arbitration and the New York Convention,,,"Note:
This course is mandatory pass/fail and will not count toward the 7 credit pass/fail limit for J.D. students.
ATTENDANCE IS MANDATORY AT ALL CLASS SESSIONS. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. All enrolled students must attend each class session in its entirety. Failure to attend the first class session in its entirety will result in a drop; failure to attend any subsequent class session in its entirety may result in a withdrawal.
Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar; a student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from an academic advisor in the Office of Academic Affairs. Withdrawals are permitted up until the last class for this specific course.","Recommended:
Any course in international arbitration.",,Albert Jan van den Berg,https://www.law.georgetown.edu/faculty/?redirect=RzAwNjY5MTk1,,,,,"SaSu 10:00am-1:20pm (3/2 to 3/3, 3/9 to 3/10)"
Cancelled section,LAW 1758 v00,International Arbitration in the Middle East,,,"Note:
Withdrawals are permitted up until the last class for this specific course.",,,Ahmed Elsisi,https://www.law.georgetown.edu/faculty/?redirect=RzAwNDY4MDIw,Mohamed Abdel Wahab,https://www.law.georgetown.edu/faculty/?redirect=RzAxMDM1MjUy,,,
"The course analyzes the regulatory framework of international contracts. On the basis of court decisions and arbitral awards, it focuses on international conventions and uniform rules of law, such as the United Nations Convention on Contracts for the International Sales of Goods (CISG), the UNIDROIT Principles of International Commercial Contracts, the Principles of European Contract Law, and INCOTERMS. The course includes some aspects of conflicts of law rules, as well as an analysis of the main international instruments governing international commercial arbitration.",LAW 1036 v00,International Contracts with a Focus on the Law of Sales,Limit: Varies by section,"Prerequisite:
Contracts (or the equivalent Bargain, Exchange, and Liability).",,,,Franz Werro,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzE5NDYw,,,,,Th 1:20pm-3:20pm (1/16 to 4/27)
"The global trade in arms is estimated to be worth at least $127 billion dollars (in 2021, the most recent year for which data is available), and has been increasing since 2015. This trade involves not only major powers such as the USA, Russia, and China but also many countries in the global North and South. It also involves a range of technologies, from light weapons and ammunition to aircraft, missiles, drone systems, weapon launchers, through intelligence, information and cyber systems. Recent human rights activism and investigative journalism have drawn public attention to the devastating human rights implications of the trade in what are deemed “conventional” arms. Civil society actors decry the fact that small arms and light weapons have caused the death of millions of individuals in civil wars in the last two decades. Yemeni and European human rights lawyers have initiated legal proceedings against European corporations for complicity with war crimes committed by Saudi Arabia in Yemen with weapons purchased in Europe. Seventeen news organizations joined hands with Amnesty International to investigate Israeli spyware Pegasus, revealing how it has provided authoritarian rulers with the means to surveil their populations and concentrate power.
Indeed, beyond the taking of life, the arms purchased legally by states around the world directly and indirectly harm a wide range of human rights protected in international law, including health, liberty, privacy, free speech and association, and religious freedom. In this course we will explore how international law regulates the global arms trade, focusing on the place of human rights considerations in this regulation. This international regulation is fractured. While weapons of mass destruction and weapons deemed particularly cruel or destructive are subject to specific bans or stringent transfer restrictions, the trade in the bulk of conventional weapons is subject to norms deriving from international humanitarian law, international criminal law, international human rights law, international trade law, non-binding multilateral regimes coordinating export controls, and binding and non-binding rules on business and human rights. After an introduction to the history, trends and political science of the global arms trade, we will discuss the above legal norms and their enforcement mechanisms. In addition to legal sources such as treaties and case-law, we will read scholarship in international law and international relations critically assessing the law from a human rights perspective. The course’s overarching aim is to understand whether international law limits the global arms trade’s harms to human rights, or to the contrary facilitates them. In the process, by examining how various subfields of international law address the arms trade, we will explore the relative strengths and weaknesses of these subfields to protect human rights, of formally binding rules and soft law, and of regulation targeting states, individuals and corporations.   
Learning Objectives:
The main learning objective is for students to understand the various international norms regulating the arms trade, including the emerging body of scholarly literature in international law and international relations discussing those norms. Until recently, the international regulation of the conventional arms trade was severely under-studied and under-researched. The course will introduce students to the principal scholars in the field, enabling them to continue researching these issues should they wish to do so in the future. This course will also introduce students to the global arms trade, its main economic and geo-political characteristics, and its human rights implications. They will also learn about the main sources of reliable information about this trade.
More broadly, through discussions in class drawing on legal and international relations literature, the course aims to help students develop critical perspectives on international law, in particular on questions of norm fragmentation, norm enforcement, North-South relations, and the relations between humanitarian and economic considerations. By focusing on a narrow question (the human rights implications of the arms trade) and examining how it is addressed in various subfields of international law, the students will also develop a comparative perspective on these subfields, and hopefully reach new understandings on some of the characteristics, and strengths and weaknesses of each.",LAW 1877 v00,"International Law, the Global Arms Trade and Human Rights",Limit: Varies by section,"Prerequisite:
Prior or concurrent enrollment in International Law I: Introduction to International Law.","Note:
This course will meet in Spring 2024 on the following dates: 3/25, 3/27, 4/1, 4/3, 4/8, 4/10, and 4/15.",,,Natalie Davidson,https://www.law.georgetown.edu/faculty/?redirect=RzAxMDM2ODk4,,,,,MW 1:20pm-3:20pm (3/25 to 4/15)
"Global climate change is most significant environmental challenge of the 21st century. Because the emissions of greenhouse gases (GHGs) result from virtually every kind of economic activity -- driving a car, heating a home, operating a cement factory, raising chickens -- any policy aimed at reducing emissions will have significant and broad-based impacts on domestic economies around the world.  And because most of those economic activities involve the movement of goods, services, people or intellectual property rights across international borders, policy actions taken in response to climate change can implicate global trading rules.
As countries around the world adopt different approaches to addressing the threat of climate change, the risk of conflict between basic rules governing international trade and measures taken to control GHG emissions rises.  This seminar will explore those overlaps and potential for conflict versus the opportunity for the global trading system to contribute to the reduction in GHG emissions.  The course will include a survey of the basic international rules touching on climate change, including the Paris Agreement, underlying UNFCC documents, the UN’s sustainable development goals, human rights agreements and the basic international trade rules of the World Trade Organization (WTO) and key regional agreements, including the EU treaties and the USMCA.  It will examine a number of the key issues at the intersection of trade and climate, including whether and under what conditions countries can impose a carbon border adjustment mechanism that is consistent with the WTO rules; the increasing use of government subsidies to promote the development and use of green technologies and whether new rules on subsidies are needed to regulate them; the increased clamoring for the sharing of cutting-edge green technologies, notwithstanding the WTO’s intellectual property rules; the growing volume of cross-border trade in electricity and the expansion of renewable energy and intellectual property rights feeding into internationally-operated smart grids; the need for the development of accepted and enforced standards for “green” finance; and the implications of climate change for human rights and immigration policies as rising sea levels, severe droughts and extensive fires force massive migrations.
The seminar will also explore the areas in which the trading system could make a positive contribution to the fight against GHG emissions, including the options for limiting fossil fuel and fishery subsidies and supporting the financing of renewable energy facilities.  In addition, it will examine whether the current exceptions to the trading rules provide sufficient policy space for innovative approaches to climate change.
Learning Objectives: The primary objective of this course is for students to develop an understanding of the potential for conflicts between trade measures and trade rules with efforts to restrain or tax GHG emissions, along with WTO-consistent policy and financial options to support the fight against climate change. The course will give students to opportunity to develop cutting-edge proposals of significant value to political and thought leaders around the world about how best to use the trading system to support climate mitigation and adaptation measures.",LAW 1770 v00,International Trade Rules and Climate Change Seminar - Can the Two Get Along?,Limit: Varies by section,,"Note:
This seminar requires a paper. J.D. students must register for the 3 credit section of the seminar if they wish to write a paper fulfilling the Upperclass Legal Writing Requirement. The paper requirements of the 2 credit section will not fulfill the Upperclass Legal Writing Requirement.
Only the 2-CR section will fulfill the WTO & International Trade Certificate List B requirement.
Only the 3-CR section will fulfill the WTO & International Trade Certificate List C requirement.",,,Jennifer Hillman,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzI4NDY5,,,,,T 1:20pm-3:20pm (1/16 to 4/27)
"This course will examine the connection between trade law and development, including aspects of international and regional trade agreements, comparative law, and diverse areas of market regulation at the national level. Overall, the seminar will highlight the role of law and regulation as a driver for sustainable development and inclusive growth and link broader legal frameworks and policy debates with the needs of individuals and enterprises. It will engage students in ways in which economic law can help encourage sustainable and inclusive development and will assess challenges associated with legal and regulatory capacity and the uneven implementation of laws in practice. Cross-cutting and inter-disciplinary approaches in the field, such as socio-legal approaches, human rights, food security, the UN Sustainable Development Goals (SDGs), and gender and trade will also be discussed throughout the seminar.
The seminar will take place in three phases. In Phase I, the seminar will explore the historical and institutional relationship between trade and development, including World Trade Organization (WTO) disciplines, regional trade agreements (RTAs), and other relevant international legal frameworks.  Phase II will focus on different issues and will cover a number of substantive aspects of trade and development in depth, all of which impact stakeholders and communities and hold greater potential to contribute to the common good.  Specific areas of focus will include domestic market regulation and investment, non-tariff measures, regulation of services, trade facilitation, agriculture, labor and environment, intellectual property rights, gender, and digital trade.  Phase III of the course will consist of an in-class exercise to apply the theory and substantive legal approaches discussed in Parts I and II in the context to practical trade and development challenges. 
Readings will be drawn from a variety of viewpoints and sources – law review articles, white papers, academic journals, newspapers and magazines, and excerpts from books – and will cut across trade and economic law, inclusive economic development, and business.  The readings will highlight different aspects of the legal and regulatory environment in the context of encouraging sustainable and inclusive development globally and at the grassroots level. Discussion questions will be provided for each session, which can be used as the basis for class preparation
The course will also incorporate short, practical case studies that illustrate how different issues in trade, development, and economic regulation can be applied from the perspective of different stakeholders (entrepreneurs, countries, and communities).  Seminar members will be asked to assume roles in discussion of these case studies, which will count towards class participation and lay the groundwork for the final paper.  Questions to guide the case study analysis will also be provided. 
In addition to the readings assigned for each session, optional background readings will be included for students wishing to explore a topic in greater depth (additional background reading is recommended for students who have not taken a trade law course, but the course does not have any prerequisites). ",LAW 959 v00,"International Trade, Development & the Common Good",Limit: Varies by section,,"Note:
Only the 3-CR section will fulfill the WTO & International Trade Certificate List C requirement.
This seminar requires a paper. J.D. students must register for the 3 credit section of the seminar if they wish to write a paper fulfilling the Upperclass Legal Writing Requirement. The paper requirements of the 2 credit section will not fulfill the J.D. Upperclass Legal Writing Requirement.",,,Katrin Kuhlmann,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIzOTA2,,,,,W 1:20pm-3:20pm (1/16 to 4/27)
"This seminar will lay out the basic principles of international investment treaty arbitration by analyzing and studying the underlying principles of public international law as well as landmark decisions of the Permanent Court of International Justice and the International Court of Justice (ICJ) that influence Investor-State arbitration. The curriculum and calendar of the seminar will follow the procedural structure of a proceeding at the International Centre for Settlement of Investment Disputes (ICSID) — i.e., first covering registration of a request for arbitration under articles 25 and 36 of the ICSID Convention, then discussing preliminary objections under Rule 41(5) of the ICSID Rules of Arbitration, provisional measures, objections to jurisdiction, merits, and ending with quantum.
The objective of the seminar is to provide students interested in investment treaty arbitration and/or public international law with a solid understanding of the principles and judgments of the ICJ and other relevant public international law instruments, including the International Law Commission’s 2001 Articles on State Responsibility, which together form the basis for the rules and principles that guide investment treaty arbitration.",LAW 2055 v00,"Investment Treaty Arbitration, Public International Law, and Landmark Judgments of the ICJ",,,,"Recommended:
International Law I: Introduction to International Law (or the equivalent International Law I); Litigation Practice in International Arbitration; or Investor-State Dispute Settlement.",,Jose Antonio Rivas,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjEyNjQ1,Ian A. Laird,https://www.law.georgetown.edu/faculty/?redirect=RzAwNTc3MjAx,,,Th 5:45pm-7:45pm (1/16 to 4/27)
"Federal judges wield enormous power in our democracy, influencing nearly every aspect of American life.  Recent years have seen increasing numbers of decisions on some of the most salient issues of our time, including civil rights, abortion, guns, economic regulation, and religious liberty. As a result, the political parties, progressive and conservative organizations, and business groups, devote substantial resources and energy for control over the judicial selection process.  Debates over the confirmation of judicial nominees are often highly visible and contentious and are used as platforms to articulate views about what the law should be. Sometimes, the hearings serve to elevate issues such as sexual harassment and racial justice into the public domain for the nation to consider and debate.
This seminar will provide an overview of presidential nominations to the lower federal courts and Supreme Court since George Washington, with an emphasis on the years since the early 1980’s when the Reagan Administration dramatically altered the selection of judges.  It will compare and contrast the processes used by different presidents in picking judges, explore the role of outside groups and the parties, and examine the ways in which failed nominations set the stage for bitter partisanship. Reliance by the Biden Administration on demographic and experiential diversity will be highlighted as well as recent discussions related to structural reform of the Supreme Court. The seminar will conclude with an assessment of the impact that politicization of the federal judiciary has had on American life and society. During the semester, a number of outside speakers from the Senate, White House, and organizations will share their experiences and insights.
Learning Objectives:  Students will gain an understanding of the reasons why, and consequences of, increasing polarization of the process of selecting federal judges.  They will learn about the process used by past administrations, the changes that have occurred over the years, and the impact of those changes on the process. Students will also be exposed to the different eras in American politics as seen through public debates around judicial nominations.  They will have the opportunity to review and debate several aspects of the process as well as proposals to reform the Supreme Court.",LAW 1778 v00,"Judicial Politics: The Role of the White House, Congress, and Outside Groups in Selecting Judges and Justices",Limit: Varies by section,,,,,Nan Aron,https://www.law.georgetown.edu/faculty/?redirect=RzAwOTU5NjA0,,,,,M 5:45pm-7:45pm (1/16 to 4/27)
"This is a 2- credit seminar examining modern day labor law interpretation and enforcement, with a particular focus on how the National Labor Relations Act, an eight decade old statute, is being applied to the 21st century workforce. This course will examine the application of National Labor Relations Act (NLRA) to the private sector workforce under Obama, Trump and Biden administrations. This will involve a study of the uniquely described “gig” workforce, joint employer status, independent contractors, graduate students, contingent and immigrant workers and others.  The course will explore the impact of working under modern business models, technological advancement, electronic communication and the effect of social media. We will examine the effectiveness of protections afforded to employees exercising their rights to address terms and conditions of employment, through their unions, and in non unionized workplaces by means of employee collective action. We will study how the Boards of several recent administrations applied the NLRA in this modern age.  We will also examine how a change in administration has affected the way the NLRA is interpreted and enforced.
The course is organized into general topic areas; in each two- or three-week unit we will focus on a particular issue, such as:
 statutory framework of the NLRA and its rights and limits
concerted activity for mutual aid and protection.
the cyber workplace: new technologies & challenges.
the “gig” economy, students, immigrants, contingent workers.
identifying who is classified as an employee and employer.
There are no prerequisites although labor law is recommended.
Course Goals
By the end of the semester, students should be able to do the following:
Demonstrate a general understanding of the impact that modern business models, technological advancement, electronic communication and changing administrations has on how laws are interpreted and applied to the modern workforce.
Recognize how the NLRB and other agencies charged with providing worker protections have changed over time and understand what has driven those changes.
Critically assess legal and historical scholarship on the NLRB and courts’ role in interpreting and enforcing the labor laws.
Critically assess the structure and intent of key elements of the NLRA and its effectiveness in the modern workplace.
Respond constructively to classmates’ questions, comments, and ideas.",LAW 1714 v00,Labor Law and the Changing US Workforce Seminar,Limit: Varies by section,,,,,Mark Gaston Pearce,https://www.law.georgetown.edu/faculty/?redirect=RzAwODkwOTYw,,,,,T 3:30pm-5:30pm (1/16 to 4/27)
"The point of this course is to provide the tools and some of the experience of working in or with a large law firm pro bono practice. We do this through three primary means: lecture (not just from the professors, but also from law firm and legal services leaders in the community); reading current materials on pro bono and the state of the legal market; and role-playing, using our mock law firm, Rodriquez Zimmerman & Drysdale. Each student will have a specific role in that fictional law firm, and we will provide access to more firm financial information than you will likely have at any other firm when you start (and certainly more than you would ever have from the outside). Alas, it is fictional – but trust us, it is realistic.
To understand how pro bono works in a large law firm, you first need to be familiar with how a large law firm itself works, both internally and in the market. The beginning of this course focuses on what we broadly call “law firm economics,” but just as well could be called “operations” or “management” or “finance.” We want you to understand these subjects so that you can answer this question – and then argue or defend the answer in the future: how is it that the Top 100 revenue-producing law firms in the United States contribute, on average, about 60 hours of free legal services per attorney each year? What does the donation of 1½ weeks of productivity do to the firm’s bottom line?
Then we will focus on the how and why of pro bono practice. Where did this impulse to provide free legal services come from? How do law firms decide which matters to take, and which to decline? There is a vigorous debate in the law firm pro bono community about “what counts” as pro bono work – there is even a small treatise with that very name (included in the reading materials). Beyond the issue of qualification, how do law firms determine their pro bono priorities? How does pro bono fit within larger law firm management goals?
We will also explore pro bono from other points of view: public interest providers, law schools, corporate in-house counsel and the media. What role do these organizations play in the provision of pro bono legal services, and how do they interact with large law firm pro bono practices?",LAW 135 v01,Law Firm Economics and the Public Interest: Advancing the Commitment to Pro Bono Publico through Law Firms and Other Legal Institutions,Limit: 20,,"Note:
WEEK ONE COURSE. This seminar will meet for one week only on the following days: Monday, January 8, 2024, through Thursday, January 11, 2024, 6:00 p.m. - 9:20 p.m. This course is mandatory pass/fail and will not count toward the 7 credit pass/fail limit for J.D. students.
ATTENDANCE IS MANDATORY AT ALL CLASS SESSIONS. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. All enrolled students must attend each class session in its entirety. Failure to attend the first class session in its entirety will result in a drop; failure to attend any subsequent class session in its entirety may result in a withdrawal.
Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar; a student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from an academic advisor in the Office of Academic Affairs. Withdrawals are permitted up until the last class for this specific course.",,,Steven H. Schulman,https://www.law.georgetown.edu/faculty/?redirect=RzAwMzIwOTAy,Carolyn Perez,https://www.law.georgetown.edu/faculty/?redirect=RzAwODUwOTQ3,,,MTWTh 6:00pm-9:20pm (1/8 to 1/12)
"This seminar will examine the characteristics that define the Civil Law and the Common Law traditions. Students will learn the roles of different relevant actors of the legal community, establishing contrasts, differences and similarities between legal traditions. The course will expose students to the Civil Law tradition, as well as cultural, linguistic, historical and political traits, that influences the ways in which clients, partners and communities from Spanish-speaking regions understand the law.
The objective of this course is to introduce students not only to the main contemporary legal traditions, but also to encourage them to think about the theory and practice of each tradition, in order to make useful and critical comparisons of the different legal systems. Throughout the class, students will understand the influence that different political events had in shaping the current legal systems of Spanish-speaking countries and will have the opportunity to discover the relations and interactions between domestic legal systems and international legal systems. The comparative law perspective of this course will allow students to explore, for instance, the distinctions between the United States judicial review model with constitutionality control systems in civil law countries.
The seminar will build students’ practical legal concepts and terminology, and written and oral communication skills by introducing them to and reinforcing technical language and concepts in Spanish, in areas such as immigration, criminal law, commercial and civil law (including statutory interpretation and status), labor law, and family law. In-class presentations, written assignments, and readings will give students the opportunity to strengthen speaking, listening comprehension and written communication in legal Spanish.
By the end of the seminar, students will be equipped with an understanding of the different legal traditions, the strengths and weaknesses of current legal frameworks, the role of international human rights law in domestic legal systems, as well as Spanish communication skills in the context of legal practice.
This seminar requires attendance and participation in seminar discussions, preparation for class, and writing response posts. For the 2-credit section, students will be required to write three reaction papers throughout the semester. For the 3-credit section, students will be required to submit a final paper.
Learning Objectives:
Understanding of contrasts, differences and similarities between the Civil Law and the Common Law systems.
Understanding of the impact of cultural, historical, and political events in shaping legal systems in Civil Law countries.
Understanding of practical legal concepts and terminology in different areas of law of Civil Law systems.
Exposing students to the Civil Law tradition to ensure their successful lawyering with Spanish-dominant clients, partners and communities.",LAW 1547 v00,"Legal Spanish: The Traditions, The Culture and Lawyering Tools",Limit: Varies by section,"Prerequisite:
Intermediate Spanish proficiency.","Note:
THIS COURSE REQUIRES PROFESSOR PERMISSION TO ENROLL. Please submit the following to both Professors Cabrera (cabrera@law.georgetown.edu) and Serrano Guzman (sjs357@georgetown.edu) no later than 5:00 p.m. on Wednesday, October 4, 2023: (1) resume and (2) short explanation of interest in the seminar. The professors may conduct brief interviews by Zoom.  After the October 4 application deadline, students who receive professor permission to enroll will be admitted into open seats on a rolling basis.
This seminar requires a paper or reaction papers. Students must register for the 3 credit section of the seminar if they wish to write a paper fulfilling the Upperclass Legal Writing Requirement. The writing requirements of the 2 credit section will not fulfill the Upperclass Legal Writing Requirement. The 3 credit section is open to J.D. students only, and non-degree students may not enroll.",,,Oscar A Cabrera,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjA3MDM0,Silvia J Serrano,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjA3Mzgy,,,F 1:20pm-3:20pm (1/16 to 4/27)
"This intensive one-credit course will take six students through a fast-paced, real-life M&A situation over the course of a single weekend. Past years have had students represent a hypothetical client that has received an unsolicited takeover, or represent a company in the final days of a public company sale transaction. Students will be informed of the scenario a few days in advance, and provided with the relevant background materials, in order to be ready for the weekend. The students will play the role of associates in a firm that is the outside counsel to the company that is the subject of the scenario. The goal of the course is to simulate through this hypothetical M&A scenario, the legal and practical skills needed to guide a client’s strategic and tactical business decisions in a real-life M&A situation.
This course will be highly interactive. Working in teams and individually over the weekend, the students will finalize legal documents and prepare and deliver presentation materials to the company’s Board of Directors. They will also brief the Board on its fiduciary duties under Delaware law in the context of the scenario, and review the relevant agreements with the Board. The course will begin on Friday evening and continue throughout the course of the weekend, culminating in a simulated Board meeting on Sunday. The students will be allocated tasks throughout the weekend as they would in a real life/real time private practice situation. The students will work with a practicing M&A lawyer from an international New York City firm as the ""partner"" on the matter who will give out assignments, review written material, and otherwise coordinate the team.
Note that the class will require work to be done Friday evening after the in-class portion concludes at 7:00 p.m.",LAW 1145 v00,Mergers and Acquisitions in Practice: Advising the Board of Directors,Limit: 6,"Prerequisite:
Corporations.","Note:
ATTENDANCE IS MANDATORY AT ALL CLASS SESSIONS. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. All enrolled students must attend each class session in its entirety. Failure to attend the first class session in its entirety will result in a drop; failure to attend any subsequent class session in its entirety may result in a withdrawal.
Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar; a student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from an academic advisor in the Office of Academic Affairs. Withdrawals are permitted up until the last class for this specific course.
This course is offered on a mandatory pass/fail basis and will not count toward the 7 credit pass/fail limit for J.D. students.
Note: Students should be prepared to dedicate a significant amount of time to this class over the course of the weekend outside of the scheduled class hours.",,,Damien Rudyard Zoubek,https://www.law.georgetown.edu/faculty/?redirect=RzAwMDQzOTUw,,,,,F 4:00pm-7:00pm (2/23)
"This intensive one-credit course will take ten students through a fast-paced, real-life M&A situation over the course of a single weekend. We will have one class meeting in advance of the simulation to review relevant case law, acquisition structures and the fact pattern. Past years have had students represent a company in the final days of a public company sale transaction. Students will be informed of the scenario a few days in advance, and provided with the relevant background materials, in order to be ready for the weekend. The students will play the role of associates in a firm that is the outside counsel to the company that is the subject of the scenario. The goal of the course is to simulate through this hypothetical M&A scenario, the legal skills needed to guide a client’s strategic and tactical business decisions in a real-life M&A situation.
This course will be highly interactive. Working in teams and individually over the weekend, the students will finalize legal documents and prepare and deliver presentation materials to the company’s Board of Directors. They will also brief the Board on its fiduciary duties under Delaware law in the context of the scenario. The course will culminate in a simulated Board meeting on Sunday. The students will be allocated tasks throughout the weekend as they would in a real life/real time private practice situation. The students will work with a practicing M&A lawyer from an international New York City firm as the ""partner"" on the matter who will give out assignments, review written material, and otherwise coordinate the team.
Learning Objectives:
We strive to create a real world experience of the last 48 hours leading up to the final board meeting to approve a transaction. The students will learn the cadence of a transaction, manage multiple work streams and gain valuable experience in how to guide a board of directors in the decision making process.",LAW 1145 v01,Mergers and Acquisitions in Practice: Advising the Board of Directors,Limit: 10,"Prerequisite:
Corporations.","Note:
This seminar is open to J.D. students only.
ATTENDANCE IS MANDATORY AT ALL CLASS SESSIONS. The first class session will be held remotely over Zoom; subsequent class sessions will be held in person. Enrolled students must be in attendance at the start of the first class session in order to remain enrolled. Waitlisted students must be in attendance at the start of the first class session in order to remain eligible to be admitted off the waitlist. All enrolled students must attend each class session in its entirety. Failure to attend the first class session in its entirety will result in a drop; failure to attend any subsequent class session in its entirety may result in a withdrawal.
Enrolled students will have until the beginning of the second class session to request a drop by contacting the Office of the Registrar; a student who no longer wishes to remain enrolled after the second class session begins will not be permitted to drop the class but may request a withdrawal from an academic advisor in the Office of Academic Affairs. Withdrawals are permitted up until the last class for this specific course.
This course is offered on a mandatory pass/fail basis and will not count toward the 7 credit pass/fail limit for J.D. students.
Note: Students should be prepared to dedicate a significant amount of time to this class over the course of the weekend outside of the scheduled class hours.",,,Ann Beth Stebbins,https://www.law.georgetown.edu/faculty/?redirect=RzAwMDQwMjM0,C. Michael Chitwood,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjc4OTA3,,,F 4:30pm-6:30pm (2/23)
"This course will examine society’s notions of motherhood and how various laws affect becoming and being a mother.  Specific topics include laws that affect reproduction, pregnancy, leave from work following childbirth, parenting decisions, when to legally punish mothers and lastly navigating motherhood and professional identity as a lawyer.  Some of the questions that will run through this course include: 
Given the importance of caring for children, how should the law construct expectations of parenthood?  
How does the law shape our notions of the responsibility of motherhood?  
Is there common ground among political opponents on issues related to law and motherhood?
What laws should be implemented to better support mothers in the United States?",LAW 1606 v00,Motherhood and the Law Seminar,Limit: Varies by section,,,,,Stephanie C Inks,https://www.law.georgetown.edu/faculty/?redirect=RzAwMjk2OTU1,,,,,F 11:10am-1:10pm (1/16 to 4/27)
